Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
7,Breadth-First Search,Map 8,1,318.0,31.97773790359497,7,3,90
8,Breadth-First Search,Map 8,0,156.0,15.689990997314451,453,1,90
9,Breadth-First Search,Map 8,1,90.0,9.05239200592041,7,0,100
10,Breadth-First Search,Map 8,1,216.0,21.73154020309448,7,3,90
1,Breadth-First Search,Map 9,1,89.0,8.767831087112427,8,1,95
2,Breadth-First Search,Map 9,1,89.0,8.950428485870361,8,1,95
3,Breadth-First Search,Map 9,1,89.0,8.953757762908936,8,1,95
4,Breadth-First Search,Map 9,1,155.0,15.586397409439089,8,3,90
5,Breadth-First Search,Map 9,1,93.0,9.36807131767273,8,1,95
6,Breadth-First Search,Map 9,0,128.0,12.90393328666687,520,2,90
7,Breadth-First Search,Map 9,1,155.0,15.577390670776367,8,3,90
8,Breadth-First Search,Map 9,1,89.0,8.946406126022339,8,1,95
9,Breadth-First Search,Map 9,1,155.0,15.645041704177856,8,3,90
10,Breadth-First Search,Map 9,1,155.0,15.594478368759155,8,3,90
1,A* Search,Map 1,1,198.0,19.73555970191956,3,3,100
2,A* Search,Map 1,0,149.0,15.004609823226929,308,3,100
3,A* Search,Map 1,0,176.0,17.718254566192627,571,2,100
4,A* Search,Map 1,0,170.0,17.129606008529663,577,2,100
5,A* Search,Map 1,0,170.0,17.145497798919678,577,2,100
6,A* Search,Map 1,1,124.0,12.480989933013916,3,2,100
7,A* Search,Map 1,1,198.0,19.94007706642151,3,3,100
8,A* Search,Map 1,1,124.0,12.476951837539673,3,2,100
9,A* Search,Map 1,1,124.0,12.475316762924194,3,2,100
10,A* Search,Map 1,1,128.0,12.8793785572052,3,2,100
1,A* Search,Map 2,1,195.0,19.440503120422363,3,3,80
2,A* Search,Map 2,0,97.0,9.748047351837158,152,2,95
3,A* Search,Map 2,1,195.0,19.617637157440186,3,3,80
4,A* Search,Map 2,1,195.0,19.606130599975582,3,3,80
5,A* Search,Map 2,0,97.0,9.75683045387268,152,2,95
6,A* Search,Map 2,1,153.0,15.420203685760498,3,2,80
7,A* Search,Map 2,0,106.0,10.657821416854858,110,2,95
